Date,Value
INDX042011,81.3
INDX052011,82.3
INDX062011,98.1
INDX072011,115.8
INDX082011,140.8
INDX092011,145.1
INDX102011,133.9
INDX112011,123.7
INDX122011,96
INDX012012,77.8
INDX022012,71.5
INDX032012,72.8
INDX042012,72.8
INDX052012,72
INDX062012,80.1
INDX072012,94.1
INDX082012,105.6
INDX092012,104.5
INDX102012,111.8
INDX112012,145.2
INDX122012,161.6
INDX012013,190
INDX022013,216.2
INDX032013,159.1
INDX042013,145.2
INDX052013,141.7
INDX062013,190.8
INDX072013,279
INDX082013,441.3
INDX092013,491
INDX102013,530.9
INDX112013,392.7
INDX122013,210.1
INDX012014,163.3
INDX022014,133.1
INDX032014,126.8
INDX042014,130.7
INDX052014,139.5
INDX062014,185
INDX072014,243.4
INDX082014,232
INDX092014,206.1
INDX102014,201.8
INDX112014,204.4
INDX122014,208.7
INDX012015,193.5
INDX022015,198
INDX032015,185
INDX042015,171.8
INDX052015,179.9
INDX062015,204.2
INDX072015,275.5
INDX082015,440.2
INDX092015,460.3
INDX102015,369.4
INDX112015,269.9
INDX122015,209.5
INDX012016,184.3
INDX022016,144.9
INDX032016,133.2
INDX042016,123.5
INDX052016,117.4
INDX062016,123.5
INDX072016,129.5
INDX082016,117
INDX092016,107.8
INDX102016,104.3
INDX112016,120.6
INDX122016,122.2
INDX012017,117.8
INDX022017,114.5
INDX032017,110.6
INDX042017,107.9
INDX052017,102.3
INDX062017,111.8
INDX072017,117.2
INDX082017,220.5
INDX092017,193.8
INDX102017,237.6
INDX112017,335.5
INDX122017,363
INDX012018,346.2
INDX022018,250.7
INDX032018,157.3
INDX042018,122.6
INDX052018,115.8
INDX062018,135.3
INDX072018,169
INDX082018,163.3
INDX092018,147.8
INDX102018,162.3
INDX112018,175.8
INDX122018,131.3
INDX012019,119.1
INDX022019,105.3
INDX032019,108
INDX042019,118.6
INDX052019,134.2
INDX062019,157.8
INDX072019,181.9
INDX082019,217.2
INDX092019,328.7
INDX102019,356.8
INDX112019,478.7